Country,Number schools,Total Fees per Year (USD) MIN,Total Fees per Year (USD) MAX
Belarus,4,4374,5204
Bulgaria,6,9000,12000
Czech Republic,6,12544,18119
Estonia,1,6307,7795
Hungary,4,20539,21039
Latvia,2,4778,16828
Lithuania,2,14505,18005
Poland,12,12038,20571
Romania,11,6551,13894
Russia,58,3280,8600
Slovakia,3,15928,16625
Slovenia,2,8341,14704
Ukraine,23,5650,7500
Austria,4,4215,12452
Belgium,9,10586,14781
Denmark,4,6450,31616
Finland,5,5125,6075
France,33,14168,34845
Germany,37,8463,12126
Greece,7,10063,19680
Iceland,1,3448,12569
Ireland,6,12405,33591
Italy,29,6690,20210
Luxembourg,0,0,0
Netherlands,8,11805,26259
Norway,4,8911,15326
Portugal,8,6993,17832
Spain,38,6000,27701
Sweden,6,35699,47442
Switzerland,5,14615,28092
United Kingdom,32,26769,44718
Algeria,11,3680,15180
Egypt,18,7251.23,21466.27
Iran,49,6000,29800
Iraq,13,9000,20000
Israel,4,20250,23250
Jordan,4,6617.5,34745.9
Lebanon,7,9430,36020
Libya,4,4060,16747.8
Morocco,5,683.4322,4309.931
Syria,6,6199.29975,18406
Tunisia,4,1877.516,7218.32
Turkey,50,6100,26460
Yemen,6,2920,8310
Bahrain,4,43430,112045
Kuwait,1,25415,31607
Oman,2,22500,41500
Qatar,1,63753,85625
Saudi Arabia,25,23500,46500
United Arab Emirates,4,41294,71046