,Rank,Country,Health Care Index (Overall),Infrastructure,Professionals,Cost,Medicine Availability,Government Readiness,Year,HAQ Index (IHME (2017)),Code,Life expectancy
254,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2000,68.5,LBN,74.507
255,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2005,73.1,LBN,76.865
256,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2010,77.0,LBN,78.36
257,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2015,80.0,LBN,78.768
258,46,China,41.4,69.67,15.42,55.99,65.36,89.31,1990,49.5,CHN,69.145
259,46,China,41.4,69.67,15.42,55.99,65.36,89.31,1995,53.7,CHN,69.885
260,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2000,57.8,CHN,71.397
261,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2005,63.7,CHN,72.985
262,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2010,69.9,CHN,74.409
263,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2015,74.2,CHN,75.928
264,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,1990,71.2,SVN,73.202
265,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,1995,72.8,SVN,74.471
266,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2000,76.4,SVN,75.924
267,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2005,79.8,SVN,77.591
268,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2010,84.3,SVN,79.421
269,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2015,87.4,SVN,80.673
270,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,1990,65.7,LVA,69.053
271,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,1995,62.4,LVA,67.828
272,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2000,68.7,LVA,69.726
273,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2005,70.7,LVA,71.114
274,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2010,74.4,LVA,72.838
275,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2015,77.7,LVA,74.733
276,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,1990,64.6,HUN,69.328
277,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,1995,67.2,HUN,70.02
278,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,2000,71.0,HUN,71.721
279,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,2005,73.7,HUN,73.149
280,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,2010,76.1,HUN,74.488
281,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,2015,79.6,HUN,76.006
282,50,Costa Rica,39.03,68.39,18.75,54.18,65.81,90.86,1990,62.1,CRI,75.654
283,50,Costa Rica,39.03,68.39,18.75,54.18,65.81,90.86,1995,62.8,CRI,76.579
284,50,Costa Rica,39.03,68.39,18.75,54.18,65.81,90.86,2000,65.4,CRI,77.452
285,50,Costa Rica,39.03,68.39,18.75,54.18,65.81,90.86,2005,68.6,CRI,78.117
286,50,Costa Rica,39.03,68.39,18.75,54.18,65.81,90.86,2010,70.8,CRI,78.769
287,50,Costa Rica,39.03,68.39,18.75,54.18,65.81,90.86,2015,72.9,CRI,79.565
288,51,Poland,39.02,67.54,13.18,53.73,47.83,78.63,1990,62.1,POL,70.823
289,51,Poland,39.02,67.54,13.18,53.73,47.83,78.63,1995,65.4,POL,71.827
290,51,Poland,39.02,67.54,13.18,53.73,47.83,78.63,2000,70.8,POL,73.7
291,51,Poland,39.02,67.54,13.18,53.73,47.83,78.63,2005,73.8,POL,75.099
292,51,Poland,39.02,67.54,13.18,53.73,47.83,78.63,2010,76.3,POL,76.33
293,51,Poland,39.02,67.54,13.18,53.73,47.83,78.63,2015,79.6,POL,77.859
294,52,Indonesia,38.95,76.14,13.81,58.14,62.74,87.58,1990,37.2,IDN,62.32
295,52,Indonesia,38.95,76.14,13.81,58.14,62.74,87.58,1995,39.7,IDN,64.291
296,52,Indonesia,38.95,76.14,13.81,58.14,62.74,87.58,2000,41.3,IDN,65.772
297,52,Indonesia,38.95,76.14,13.81,58.14,62.74,87.58,2005,43.8,IDN,67.334
298,52,Indonesia,38.95,76.14,13.81,58.14,62.74,87.58,2010,46.8,IDN,69.205
299,52,Indonesia,38.95,76.14,13.81,58.14,62.74,87.58,2015,49.2,IDN,70.768
300,53,South Africa,38.65,91.58,20.88,65.96,94.29,92.3,1990,45.6,ZAF,63.307
301,53,South Africa,38.65,91.58,20.88,65.96,94.29,92.3,1995,47.9,ZAF,61.561
302,53,South Africa,38.65,91.58,20.88,65.96,94.29,92.3,2000,44.8,ZAF,56.048
303,53,South Africa,38.65,91.58,20.88,65.96,94.29,92.3,2005,45.2,ZAF,53.447
304,53,South Africa,38.65,91.58,20.88,65.96,94.29,92.3,2010,49.4,ZAF,57.669
305,53,South Africa,38.65,91.58,20.88,65.96,94.29,92.3,2015,52.0,ZAF,62.649
306,54,Slovakia,38.48,72.36,21.82,55.97,67.42,93.5,1990,66.6,SVK,71.222
307,54,Slovakia,38.48,72.36,21.82,55.97,67.42,93.5,1995,69.4,SVK,72.137
308,54,Slovakia,38.48,72.36,21.82,55.97,67.42,93.5,2000,70.8,SVK,73.288
309,54,Slovakia,38.48,72.36,21.82,55.97,67.42,93.5,2005,72.2,SVK,74.267
310,54,Slovakia,38.48,72.36,21.82,55.97,67.42,93.5,2010,74.9,SVK,75.493
311,54,Slovakia,38.48,72.36,21.82,55.97,67.42,93.5,2015,78.6,SVK,76.827
312,55,Saudi Arabia,38.43,66.73,13.73,53.04,50.02,86.72,1990,63.4,SAU,69.078
313,55,Saudi Arabia,38.43,66.73,13.73,53.04,50.02,86.72,1995,66.8,SAU,71.099
314,55,Saudi Arabia,38.43,66.73,13.73,53.04,50.02,86.72,2000,71.2,SAU,72.561
315,55,Saudi Arabia,38.43,66.73,13.73,53.04,50.02,86.72,2005,74.2,SAU,73.256
316,55,Saudi Arabia,38.43,66.73,13.73,53.04,50.02,86.72,2010,77.0,SAU,73.917
317,55,Saudi Arabia,38.43,66.73,13.73,53.04,50.02,86.72,2015,79.4,SAU,74.651
318,56,Panama,38.13,90.55,31.24,79.67,97.21,96.6,1990,52.9,PAN,72.982
319,56,Panama,38.13,90.55,31.24,79.67,97.21,96.6,1995,56.7,PAN,74.092
320,56,Panama,38.13,90.55,31.24,79.67,97.21,96.6,2000,59.8,PAN,75.06
321,56,Panama,38.13,90.55,31.24,79.67,97.21,96.6,2005,61.3,PAN,75.892
322,56,Panama,38.13,90.55,31.24,79.67,97.21,96.6,2010,62.2,PAN,76.792
323,56,Panama,38.13,90.55,31.24,79.67,97.21,96.6,2015,64.4,PAN,77.776
324,57,Belarus,37.94,70.93,17.12,54.96,64.1,89.78,1990,63.9,BLR,70.648
325,57,Belarus,37.94,70.93,17.12,54.96,64.1,89.78,1995,63.2,BLR,68.274
326,57,Belarus,37.94,70.93,17.12,54.96,64.1,89.78,2000,65.6,BLR,67.364
327,57,Belarus,37.94,70.93,17.12,54.96,64.1,89.78,2005,68.0,BLR,68.327
328,57,Belarus,37.94,70.93,17.12,54.96,64.1,89.78,2010,71.7,BLR,70.806
329,57,Belarus,37.94,70.93,17.12,54.96,64.1,89.78,2015,74.4,BLR,73.652
330,58,Russia,37.76,64.76,21.83,51.7,57.85,93.8,1990,61.4,RUS,68.047
331,58,Russia,37.76,64.76,21.83,51.7,57.85,93.8,1995,57.6,RUS,66.009
332,58,Russia,37.76,64.76,21.83,51.7,57.85,93.8,2000,59.7,RUS,65.082
333,58,Russia,37.76,64.76,21.83,51.7,57.85,93.8,2005,62.9,RUS,65.752
334,58,Russia,37.76,64.76,21.83,51.7,57.85,93.8,2010,68.5,RUS,68.715
335,58,Russia,37.76,64.76,21.83,51.7,57.85,93.8,2015,71.7,RUS,71.464
336,59,Tunisia,37.71,74.99,13.0,56.95,63.39,62.18,1990,53.0,TUN,68.792
337,59,Tunisia,37.71,74.99,13.0,56.95,63.39,62.18,1995,56.9,TUN,71.517
338,59,Tunisia,37.71,74.99,13.0,56.95,63.39,62.18,2000,61.4,TUN,73.172
339,59,Tunisia,37.71,74.99,13.0,56.95,63.39,62.18,2005,64.5,TUN,74.217
340,59,Tunisia,37.71,74.99,13.0,56.95,63.39,62.18,2010,67.4,TUN,75.041
341,59,Tunisia,37.71,74.99,13.0,56.95,63.39,62.18,2015,70.1,TUN,75.922
342,61,Nepal,37.08,71.76,14.07,54.98,73.65,87.85,1990,34.0,NPL,54.404
343,61,Nepal,37.08,71.76,14.07,54.98,73.65,87.85,1995,37.1,NPL,58.6
344,61,Nepal,37.08,71.76,14.07,54.98,73.65,87.85,2000,41.6,NPL,62.288
345,61,Nepal,37.08,71.76,14.07,54.98,73.65,87.85,2005,45.7,NPL,65.264
346,61,Nepal,37.08,71.76,14.07,54.98,73.65,87.85,2010,48.2,NPL,67.611
347,61,Nepal,37.08,71.76,14.07,54.98,73.65,87.85,2015,50.8,NPL,69.515
348,62,Peru,36.74,74.26,47.16,56.1,80.07,98.4,1990,45.9,PER,66.165
349,62,Peru,36.74,74.26,47.16,56.1,80.07,98.4,1995,49.8,PER,68.903
350,62,Peru,36.74,74.26,47.16,56.1,80.07,98.4,2000,57.1,PER,71.111
351,62,Peru,36.74,74.26,47.16,56.1,80.07,98.4,2005,62.7,PER,72.908
352,62,Peru,36.74,74.26,47.16,56.1,80.07,98.4,2010,65.9,PER,74.41
353,62,Peru,36.74,74.26,47.16,56.1,80.07,98.4,2015,69.6,PER,75.792
354,63,Brazil,36.31,69.21,14.77,53.29,52.97,88.62,1990,50.1,BRA,66.343
355,63,Brazil,36.31,69.21,14.77,53.29,52.97,88.62,1995,53.8,BRA,68.318
356,63,Brazil,36.31,69.21,14.77,53.29,52.97,88.62,2000,57.0,BRA,70.116
357,63,Brazil,36.31,69.21,14.77,53.29,52.97,88.62,2005,59.9,BRA,71.896
358,63,Brazil,36.31,69.21,14.77,53.29,52.97,88.62,2010,62.6,BRA,73.619
359,63,Brazil,36.31,69.21,14.77,53.29,52.97,88.62,2015,64.9,BRA,74.994
360,64,Puerto Rico,36.26,64.57,24.43,50.87,59.31,94.6,1990,64.5,PRI,74.185
361,64,Puerto Rico,36.26,64.57,24.43,50.87,59.31,94.6,1995,66.1,PRI,74.173
362,64,Puerto Rico,36.26,64.57,24.43,50.87,59.31,94.6,2000,69.8,PRI,75.828
363,64,Puerto Rico,36.26,64.57,24.43,50.87,59.31,94.6,2005,72.6,PRI,77.417
364,64,Puerto Rico,36.26,64.57,24.43,50.87,59.31,94.6,2010,74.0,PRI,78.572
365,64,Puerto Rico,36.26,64.57,24.43,50.87,59.31,94.6,2015,76.6,PRI,79.52
366,65,Turkey,35.96,97.4,14.43,68.59,92.72,88.32,1990,51.3,TUR,64.256
367,65,Turkey,35.96,97.4,14.43,68.59,92.72,88.32,1995,55.4,TUR,66.963
368,65,Turkey,35.96,97.4,14.43,68.59,92.72,88.32,2000,62.4,TUR,70.005
369,65,Turkey,35.96,97.4,14.43,68.59,92.72,88.32,2005,68.6,TUR,72.424
370,65,Turkey,35.96,97.4,14.43,68.59,92.72,88.32,2010,74.3,TUR,74.507
371,65,Turkey,35.96,97.4,14.43,68.59,92.72,88.32,2015,76.2,TUR,76.532
372,66,Vietnam,35.85,45.46,12.81,40.81,43.32,60.14,1990,49.5,VNM,70.551
373,66,Vietnam,35.85,45.46,12.81,40.81,43.32,60.14,1995,52.4,VNM,71.923
374,66,Vietnam,35.85,45.46,12.81,40.81,43.32,60.14,2000,55.8,VNM,73.025
375,66,Vietnam,35.85,45.46,12.81,40.81,43.32,60.14,2005,59.6,VNM,74.092
376,66,Vietnam,35.85,45.46,12.81,40.81,43.32,60.14,2010,63.0,VNM,74.837
377,66,Vietnam,35.85,45.46,12.81,40.81,43.32,60.14,2015,66.3,VNM,75.11
378,67,Bulgaria,35.64,77.18,17.35,57.08,72.25,89.84,1990,63.0,BGR,71.275
379,67,Bulgaria,35.64,77.18,17.35,57.08,72.25,89.84,1995,63.2,BGR,70.932
380,67,Bulgaria,35.64,77.18,17.35,57.08,72.25,89.84,2000,64.8,BGR,71.501
381,67,Bulgaria,35.64,77.18,17.35,57.08,72.25,89.84,2005,66.7,BGR,72.673
382,67,Bulgaria,35.64,77.18,17.35,57.08,72.25,89.84,2010,67.9,BGR,73.722
383,67,Bulgaria,35.64,77.18,17.35,57.08,72.25,89.84,2015,71.4,BGR,74.584
384,68,Algeria,35.61,72.04,19.72,54.41,71.68,91.6,1990,48.2,DZA,66.938
385,68,Algeria,35.61,72.04,19.72,54.41,71.68,91.6,1995,52.6,DZA,68.54
386,68,Algeria,35.61,72.04,19.72,54.41,71.68,91.6,2000,56.2,DZA,70.64
387,68,Algeria,35.61,72.04,19.72,54.41,71.68,91.6,2005,59.6,DZA,73.072
388,68,Algeria,35.61,72.04,19.72,54.41,71.68,91.6,2010,62.2,DZA,74.938
389,68,Algeria,35.61,72.04,19.72,54.41,71.68,91.6,2015,63.7,DZA,76.09
390,69,Romania,35.32,75.31,14.86,55.96,64.15,88.65,1990,58.3,ROU,69.535
391,69,Romania,35.32,75.31,14.86,55.96,64.15,88.65,1995,60.0,ROU,69.526
392,69,Romania,35.32,75.31,14.86,55.96,64.15,88.65,2000,64.2,ROU,70.47
393,69,Romania,35.32,75.31,14.86,55.96,64.15,88.65,2005,67.2,ROU,72.262
394,69,Romania,35.32,75.31,14.86,55.96,64.15,88.65,2010,71.1,ROU,74.066
395,69,Romania,35.32,75.31,14.86,55.96,64.15,88.65,2015,74.4,ROU,75.476
396,70,Kenya,35.16,69.92,16.86,53.1,51.23,89.62,1990,42.6,KEN,57.406
397,70,Kenya,35.16,69.92,16.86,53.1,51.23,89.62,1995,42.3,KEN,53.486
398,70,Kenya,35.16,69.92,16.86,53.1,51.23,89.62,2000,44.0,KEN,50.921
399,70,Kenya,35.16,69.92,16.86,53.1,51.23,89.62,2005,46.4,KEN,54.732
400,70,Kenya,35.16,69.92,16.86,53.1,51.23,89.62,2010,47.5,KEN,60.959
401,70,Kenya,35.16,69.92,16.86,53.1,51.23,89.62,2015,48.7,KEN,64.798
402,71,Kuwait,35.09,89.14,15.32,70.55,89.2,88.98,1990,71.7,KWT,72.15
403,71,Kuwait,35.09,89.14,15.32,70.55,89.2,88.98,1995,71.4,KWT,72.764
404,71,Kuwait,35.09,89.14,15.32,70.55,89.2,88.98,2000,74.9,KWT,73.142
405,71,Kuwait,35.09,89.14,15.32,70.55,89.2,88.98,2005,75.7,KWT,73.538
406,71,Kuwait,35.09,89.14,15.32,70.55,89.2,88.98,2010,77.7,KWT,74.358
407,71,Kuwait,35.09,89.14,15.32,70.55,89.2,88.98,2015,82.0,KWT,75.13
408,72,Dominican Republic,34.97,66.12,21.08,51.05,62.85,92.5,1990,47.9,DOM,66.574
409,72,Dominican Republic,34.97,66.12,21.08,51.05,62.85,92.5,1995,52.2,DOM,68.164
410,72,Dominican Republic,34.97,66.12,21.08,51.05,62.85,92.5,2000,56.6,DOM,69.429
411,72,Dominican Republic,34.97,66.12,21.08,51.05,62.85,92.5,2005,58.6,DOM,70.771
412,72,Dominican Republic,34.97,66.12,21.08,51.05,62.85,92.5,2010,60.8,DOM,72.046
413,72,Dominican Republic,34.97,66.12,21.08,51.05,62.85,92.5,2015,62.5,DOM,73.241
414,73,Nigeria,34.78,96.34,16.0,66.82,82.83,89.38,1990,38.3,NGA,45.9
415,73,Nigeria,34.78,96.34,16.0,66.82,82.83,89.38,1995,39.7,NGA,45.854
416,73,Nigeria,34.78,96.34,16.0,66.82,82.83,89.38,2000,40.6,NGA,46.267
417,73,Nigeria,34.78,96.34,16.0,66.82,82.83,89.38,2005,43.1,NGA,48.252
418,73,Nigeria,34.78,96.34,16.0,66.82,82.83,89.38,2010,48.8,NGA,50.896
419,73,Nigeria,34.78,96.34,16.0,66.82,82.83,89.38,2015,51.3,NGA,53.112
420,74,Albania,34.78,67.9,36.44,51.87,63.47,97.2,1990,62.4,ALB,71.836
421,74,Albania,34.78,67.9,36.44,51.87,63.47,97.2,1995,65.1,ALB,72.205
422,74,Albania,34.78,67.9,36.44,51.87,63.47,97.2,2000,68.5,ALB,73.955
423,74,Albania,34.78,67.9,36.44,51.87,63.47,97.2,2005,71.6,ALB,75.228
424,74,Albania,34.78,67.9,36.44,51.87,63.47,97.2,2010,75.3,ALB,76.562
425,74,Albania,34.78,67.9,36.44,51.87,63.47,97.2,2015,78.2,ALB,78.025
426,76,Cyprus,34.61,72.31,13.46,54.06,58.37,85.01,1990,72.0,CYP,76.554
427,76,Cyprus,34.61,72.31,13.46,54.06,58.37,85.01,1995,73.4,CYP,77.312
428,76,Cyprus,34.61,72.31,13.46,54.06,58.37,85.01,2000,76.4,CYP,78.009
429,76,Cyprus,34.61,72.31,13.46,54.06,58.37,85.01,2005,79.2,CYP,78.63
430,76,Cyprus,34.61,72.31,13.46,54.06,58.37,85.01,2010,82.6,CYP,79.43
431,76,Cyprus,34.61,72.31,13.46,54.06,58.37,85.01,2015,85.3,CYP,80.35
432,77,Serbia,34.37,69.88,16.19,52.7,66.16,89.42,1990,64.2,SRB,71.5
433,77,Serbia,34.37,69.88,16.19,52.7,66.16,89.42,1995,64.4,SRB,71.841
434,77,Serbia,34.37,69.88,16.19,52.7,66.16,89.42,2000,66.6,SRB,72.037
435,77,Serbia,34.37,69.88,16.19,52.7,66.16,89.42,2005,69.4,SRB,72.803
436,77,Serbia,34.37,69.88,16.19,52.7,66.16,89.42,2010,73.1,SRB,74.101
437,77,Serbia,34.37,69.88,16.19,52.7,66.16,89.42,2015,75.4,SRB,75.309
438,78,Iran,34.28,73.69,14.92,54.62,59.64,88.71,1990,54.6,IRN,63.837
439,78,Iran,34.28,73.69,14.92,54.62,59.64,88.71,1995,59.6,IRN,68.377
440,78,Iran,34.28,73.69,14.92,54.62,59.64,88.71,2000,63.5,IRN,70.176
441,78,Iran,34.28,73.69,14.92,54.62,59.64,88.71,2005,65.7,IRN,71.917
442,78,Iran,34.28,73.69,14.92,54.62,59.64,88.71,2010,68.9,IRN,73.905
443,78,Iran,34.28,73.69,14.92,54.62,59.64,88.71,2015,71.1,IRN,75.796
444,79,Georgia,33.84,70.73,22.76,52.88,64.43,93.9,1990,58.4,GEO,70.386
445,79,Georgia,33.84,70.73,22.76,52.88,64.43,93.9,1995,60.2,GEO,69.718
446,79,Georgia,33.84,70.73,22.76,52.88,64.43,93.9,2000,60.9,GEO,69.902
447,79,Georgia,33.84,70.73,22.76,52.88,64.43,93.9,2005,60.7,GEO,70.538
448,79,Georgia,33.84,70.73,22.76,52.88,64.43,93.9,2010,60.8,GEO,71.46
449,79,Georgia,33.84,70.73,22.76,52.88,64.43,93.9,2015,62.1,GEO,72.973
450,80,Ireland,33.65,75.32,13.87,55.16,58.24,87.74,1990,75.6,IRL,74.809
451,80,Ireland,33.65,75.32,13.87,55.16,58.24,87.74,1995,78.4,IRL,75.642
452,80,Ireland,33.65,75.32,13.87,55.16,58.24,87.74,2000,79.6,IRL,76.852
453,80,Ireland,33.65,75.32,13.87,55.16,58.24,87.74,2005,83.5,IRL,78.822
454,80,Ireland,33.65,75.32,13.87,55.16,58.24,87.74,2010,86.0,IRL,80.182
455,80,Ireland,33.65,75.32,13.87,55.16,58.24,87.74,2015,88.4,IRL,81.344
456,81,Ukraine,33.38,68.87,14.33,51.69,53.55,87.97,1990,62.8,UKR,69.835
457,81,Ukraine,33.38,68.87,14.33,51.69,53.55,87.97,1995,59.4,UKR,67.896
458,81,Ukraine,33.38,68.87,14.33,51.69,53.55,87.97,2000,62.0,UKR,67.258
459,81,Ukraine,33.38,68.87,14.33,51.69,53.55,87.97,2005,64.4,UKR,67.451
460,81,Ukraine,33.38,68.87,14.33,51.69,53.55,87.97,2010,70.5,UKR,69.361
461,81,Ukraine,33.38,68.87,14.33,51.69,53.55,87.97,2015,72.7,UKR,71.535
462,82,Kazakhstan,33.22,49.97,12.8,41.87,52.56,59.08,1990,55.1,KAZ,66.776
463,82,Kazakhstan,33.22,49.97,12.8,41.87,52.56,59.08,1995,49.9,KAZ,63.937
464,82,Kazakhstan,33.22,49.97,12.8,41.87,52.56,59.08,2000,51.3,KAZ,63.467
465,82,Kazakhstan,33.22,49.97,12.8,41.87,52.56,59.08,2005,51.9,KAZ,65.211
466,82,Kazakhstan,33.22,49.97,12.8,41.87,52.56,59.08,2010,57.9,KAZ,67.378
467,82,Kazakhstan,33.22,49.97,12.8,41.87,52.56,59.08,2015,61.1,KAZ,71.319
468,83,Morocco,33.01,67.36,15.17,50.73,63.2,88.91,1990,44.0,MAR,64.732
469,83,Morocco,33.01,67.36,15.17,50.73,63.2,88.91,1995,47.8,MAR,66.846
470,83,Morocco,33.01,67.36,15.17,50.73,63.2,88.91,2000,52.6,MAR,68.684
471,83,Morocco,33.01,67.36,15.17,50.73,63.2,88.91,2005,55.6,MAR,71.746
472,83,Morocco,33.01,67.36,15.17,50.73,63.2,88.91,2010,58.7,MAR,74.382
473,83,Morocco,33.01,67.36,15.17,50.73,63.2,88.91,2015,61.3,MAR,75.726
474,84,Egypt,32.94,69.5,28.16,51.81,62.68,95.7,1990,45.0,EGY,64.572
475,84,Egypt,32.94,69.5,28.16,51.81,62.68,95.7,1995,49.3,EGY,66.779
476,84,Egypt,32.94,69.5,28.16,51.81,62.68,95.7,2000,54.4,EGY,68.602
477,84,Egypt,32.94,69.5,28.16,51.81,62.68,95.7,2005,56.9,EGY,69.434
478,84,Egypt,32.94,69.5,28.16,51.81,62.68,95.7,2010,58.2,EGY,70.349
479,84,Egypt,32.94,69.5,28.16,51.81,62.68,95.7,2015,61.0,EGY,71.302
480,85,Bangladesh,32.89,70.58,22.84,52.34,68.18,94.2,1990,32.6,BGD,58.21
481,85,Bangladesh,32.89,70.58,22.84,52.34,68.18,94.2,1995,35.8,BGD,62.002
482,85,Bangladesh,32.89,70.58,22.84,52.34,68.18,94.2,2000,39.6,BGD,65.447
483,85,Bangladesh,32.89,70.58,22.84,52.34,68.18,94.2,2005,44.3,BGD,67.773
484,85,Bangladesh,32.89,70.58,22.84,52.34,68.18,94.2,2010,48.7,BGD,69.881
485,85,Bangladesh,32.89,70.58,22.84,52.34,68.18,94.2,2015,51.7,BGD,71.514
486,86,Azerbaijan,32.88,77.8,13.76,56.06,59.35,87.38,1990,52.9,AZE,64.827
487,86,Azerbaijan,32.88,77.8,13.76,56.06,59.35,87.38,1995,51.8,AZE,65.256
488,86,Azerbaijan,32.88,77.8,13.76,56.06,59.35,87.38,2000,53.6,AZE,66.763
489,86,Azerbaijan,32.88,77.8,13.76,56.06,59.35,87.38,2005,55.4,AZE,68.747
490,86,Azerbaijan,32.88,77.8,13.76,56.06,59.35,87.38,2010,59.9,AZE,70.938
491,86,Azerbaijan,32.88,77.8,13.76,56.06,59.35,87.38,2015,64.5,AZE,72.266
492,87,Iraq,32.55,73.74,14.59,53.81,57.45,88.36,1990,51.1,IRQ,66.011
493,87,Iraq,32.55,73.74,14.59,53.81,57.45,88.36,1995,50.7,IRQ,68.446
494,87,Iraq,32.55,73.74,14.59,53.81,57.45,88.36,2000,51.8,IRQ,69.082
495,87,Iraq,32.55,73.74,14.59,53.81,57.45,88.36,2005,54.4,IRQ,68.266
496,87,Iraq,32.55,73.74,14.59,53.81,57.45,88.36,2010,57.2,IRQ,68.567
497,87,Iraq,32.55,73.74,14.59,53.81,57.45,88.36,2015,60.1,IRQ,69.929
498,88,Pakistan,32.52,73.36,18.25,53.59,58.14,90.81,1990,36.5,PAK,60.1
499,88,Pakistan,32.52,73.36,18.25,53.59,58.14,90.81,1995,35.6,PAK,61.505
500,88,Pakistan,32.52,73.36,18.25,53.59,58.14,90.81,2000,36.3,PAK,62.82
501,88,Pakistan,32.52,73.36,18.25,53.59,58.14,90.81,2005,38.1,PAK,63.951
502,88,Pakistan,32.52,73.36,18.25,53.59,58.14,90.81,2010,41.2,PAK,65.264
503,88,Pakistan,32.52,73.36,18.25,53.59,58.14,90.81,2015,43.1,PAK,66.577
504,89,Venezuela,32.42,71.39,17.16,52.53,53.7,89.84,1990,53.1,VEN,70.658
505,89,Venezuela,32.42,71.39,17.16,52.53,53.7,89.84,1995,55.6,VEN,71.321
506,89,Venezuela,32.42,71.39,17.16,52.53,53.7,89.84,2000,59.3,VEN,72.112
507,89,Venezuela,32.42,71.39,17.16,52.53,53.7,89.84,2005,62.3,VEN,72.852
508,89,Venezuela,32.42,71.39,17.16,52.53,53.7,89.84,2010,64.2,VEN,73.134
509,89,Venezuela,32.42,71.39,17.16,52.53,53.7,89.84,2015,64.7,VEN,72.584
